created_at,text,real_user
2020-04-29 00:56:19+00:00,"#BarbosaNoGobierna desde hace muchos meses y con la llegada de la pandemia del COVID-19 solo agravó las cosas, ahora  #PueblaTieneHambre",Gregory76251253
2020-04-29 00:56:19+00:00,RT @Re_desconfia2: Acompañenme a ver esta triste historia... https://t.co/RYF6OYRznA,E7946824
2020-04-29 00:56:19+00:00,"RT @MacarlupoOmar: @GomezlRichard @DesarrolloEcAN @AsambleaEcuador @SRIoficialEc @IESSec Hay que identificarlos con nombres y apellidos 
Y…",Marcosaff84
2020-04-29 00:56:19+00:00,RT @OmarYubeili: Así si me gusta el insomnio 🙏🏽 https://t.co/MWDJFmmzjB,sandraag123
2020-04-29 00:56:19+00:00,"RT @wendylove333: Servicios a chicos y parejas.. $1,000.00mx (1.5hrs) para el próximo viernes 1 de mayo ¿quien se apunta? Hotel One Ciudad…",EMarrito
2020-04-29 00:56:19+00:00,"RT @ElChairoPrieto: El tamal de mole, viendo como solo escojes los de rajas con queso https://t.co/1qWn5atMyX",zerimarluar
2020-04-29 00:56:19+00:00,q loco que siempre caminábamos en círculo alta secta bue,jazcelanoc
2020-04-29 00:56:10+00:00,@A_Ardon2690 Estaba por la 20 calle en z10 pero ahora creo que solo a domicilio tienen jajaja,Urrubaez
2020-04-29 00:56:19+00:00,me estreso de solo verlo 🙈,FlorVilla17
2020-04-29 00:56:19+00:00,"RT @FerrnetBranca: quédate conmigo, yo no beso a nadie en las jodas, solo voy a escabiar",Monti2000obs
2020-04-29 00:56:19+00:00,RT @BobeOficial: Bueno ya vamos mas de 1 mes en cuarentena y ninguna de las 700 ayudas que han anunciado llegan. Solo siguen pasando los di…,shhh7661
2020-04-29 00:56:19+00:00,RT @ghitis: La entrega de contratos a sus amigos es solo un síntoma más del nulo respeto por las instituciones. Eso les hace ignorar las me…,mariafgonzalezl
